Date,Opening,Closing,Variation,Minimum,Maximum
23/10/2023,113.145,112.785,-0,33,112.164,113.680
20/10/2023,113.996,113.155,-0,74,112.533,114.090
19/10/2023,114.059,114.004,-0,05,113.768,115.063
18/10/2023,115.907,114.060,-1,6,113.952,115.907
17/10/2023,116.526,115.908,-0,54,115.564,116.917
16/10/2023,115.760,116.534,0,67,115.760,116.905
13/10/2023,117.050,115.754,-1,11,115.658,117.070
11/10/2023,116.737,117.051,0,27,116.231,117.099
10/10/2023,115.158,116.737,1,37,115.158,116.900
09/10/2023,114.169,115.156,0,86,113.448,115.219
06/10/2023,113.283,114.170,0,78,111.599,114.491
05/10/2023,113.609,113.284,-0,28,112.705,114.359
04/10/2023,113.430,113.607,0,17,113.036,114.075
03/10/2023,115.055,113.419,-1,42,113.151,115.056
02/10/2023,116.565,115.057,-1,29,114.761,116.672
29/09/2023,115.742,116.565,0,72,115.742,116.899
28/09/2023,114.327,115.731,1,23,114.180,115.954
27/09/2023,114.194,114.327,0,12,113.366,115.340
26/09/2023,115.922,114.193,-1,49,114.162,115.922
25/09/2023,116.009,115.925,-0,07,115.573,116.031
22/09/2023,116.147,116.009,-0,12,115.855,116.968
21/09/2023,118.695,116.145,-2,15,116.013,118.695
20/09/2023,117.864,118.695,0,72,117.847,119.616
19/09/2023,118.293,117.846,-0,37,117.628,118.458
18/09/2023,118.759,118.288,-0,4,118.123,119.486
15/09/2023,119.393,118.758,-0,53,118.666,119.780
14/09/2023,118.181,119.392,1,03,118.181,119.748
13/09/2023,117.968,118.176,0,18,117.722,119.318
12/09/2023,116.885,117.968,0,93,116.885,118.154
11/09/2023,115.316,116.883,1,36,115.316,117.131
08/09/2023,115.979,115.313,-0,58,114.839,115.979
06/09/2023,117.331,115.985,-1,15,115.984,117.971
05/09/2023,117.776,117.331,-0,38,116.637,117.957
04/09/2023,117.893,117.777,-0,1,117.590,118.576
01/09/2023,115.744,117.893,1,86,115.744,117.991
31/08/2023,117.537,115.742,-1,53,115.742,117.637
30/08/2023,118.404,117.535,-0,73,117.471,118.841
29/08/2023,117.124,118.404,1,1,117.124,118.493
28/08/2023,115.838,117.121,1,11,115.836,117.253
25/08/2023,117.025,115.837,-1,02,115.397,117.252
24/08/2023,118.135,117.026,-0,94,116.848,118.136
23/08/2023,116.160,118.135,1,7,116.159,118.135
22/08/2023,114.433,116.156,1,51,114.433,116.286
21/08/2023,115.404,114.429,-0,85,114.067,115.425
18/08/2023,115.592,115.409,0,37,114.423,115.729
17/08/2023,116.171,114.982,-0,53,114.859,116.610
16/08/2023,116.171,115.592,-0,5,115.534,117.338
15/08/2023,116.809,116.171,-0,55,116.033,117.697
14/08/2023,118.067,116.810,-1,06,116.530,118.082
11/08/2023,118.350,118.065,-0,24,117.415,119.054
10/08/2023,118.412,118.350,-0,05,118.113,119.438
09/08/2023,119.090,118.409,-0,57,117.901,119.090
08/08/2023,119.378,119.090,-0,24,117.492,119.553
07/08/2023,119.509,119.380,-0,11,118.894,120.104
04/08/2023,120.586,119.508,-0,89,119.215,121.442
03/08/2023,120.859,120.586,-0,23,120.365,122.619
02/08/2023,121.249,120.859,-0,32,119.798,121.252
01/08/2023,121.945,121.248,-0,57,120.154,121.945
31/07/2023,120.188,121.943,1,46,120.188,122.149
28/07/2023,120.002,120.187,0,16,119.706,120.660
27/07/2023,122.560,119.990,-2,1,119.825,122.599
26/07/2023,122.003,122.560,0,45,121.370,122.747
25/07/2023,121.344,122.008,0,55,121.344,123.010
24/07/2023,120.220,121.342,0,94,120.099,121.772
21/07/2023,118.090,120.217,1,81,118.086,120.373
20/07/2023,117.558,118.083,0,45,117.484,118.290
19/07/2023,117.842,117.552,-0,25,116.660,118.011
18/07/2023,118.218,117.841,-0,32,117.324,118.732
17/07/2023,117.711,118.219,0,43,116.591,118.302
14/07/2023,119.268,117.711,-1,3,117.526,119.329
13/07/2023,117.671,119.264,1,36,117.668,119.739
12/07/2023,117.557,117.666,0,1,117.557,119.156
11/07/2023,117.942,117.555,-0,33,115.704,117.942
10/07/2023,118.897,117.942,-0,8,117.814,118.897
07/07/2023,117.427,118.898,1,25,117.427,119.549
06/07/2023,119.548,117.426,-1,78,117.096,119.548
05/07/2023,119.072,119.549,0,4,118.688,120.200
04/07/2023,119.673,119.076,0,59,118.830,119.678
30/06/2023,118.388,118.087,-0,25,118.087,119.447
29/06/2023,116.683,118.383,1,46,116.683,118.623
28/06/2023,117.524,116.681,-0,72,116.560,117.937
27/06/2023,118.246,117.523,-0,61,116.561,119.212
26/06/2023,118.977,118.243,-0,62,117.491,119.148
23/06/2023,118.959,118.977,-0,03,118.178,119.386
22/06/2023,120.420,119.017,-1,17,118.018,120.420
21/06/2023,119.623,120.421,0,67,119.332,120.519
20/06/2023,119.858,119.622,-0,2,118.416,119.858
19/06/2023,118.757,119.858,0,93,118.558,119.939
16/06/2023,119.208,118.758,-0,39,118.487,119.555
15/06/2023,119.068,119.221,0,13,118.693,119.686
14/06/2023,116.753,119.069,1,99,116.745,119.085
13/06/2023,117.337,116.743,-0,51,116.363,117.924
12/06/2023,117.022,117.336,0,27,116.704,117.735
09/06/2023,115.489,117.019,1,33,115.489,117.603
07/06/2023,114.610,115.488,0,77,114.610,115.978
06/06/2023,112.697,114.610,1,7,112.696,114.783
05/06/2023,112.558,112.696,0,12,111.736,113.071
02/06/2023,110.568,112.558,1,8,110.567,113.070
01/06/2023,108.339,110.565,2,06,108.335,110.745
31/05/2023,108.967,108.335,-0,58,108.193,109.137
30/05/2023,110.333,108.967,-1,24,108.552,111.291
29/05/2023,110.906,110.333,-0,52,110.195,111.168
